ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10514462,HZ256372,1/1/15 0:00,073XX S EXCHANGE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,334,3,7,43,2,,,2015,5/10/16 15:56,,,
10515175,HZ257172,11/24/15 17:30,033XX W ADAMS ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1124,11,28,27,6,,,2015,5/10/16 15:56,,,
10077106,HY266148,5/19/15 1:12,009XX W BELMONT AVE,560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,1933,19,44,6,08A,1169640,1921442,2015,5/11/16 15:48,41.93994326,-87.651925,"(41.939943264, -87.651924995)"
10111002,HY299741,6/13/15 16:45,015XX S HAMLIN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,FALSE,FALSE,1014,10,24,29,15,1151295,1892216,2015,5/11/16 15:48,41.86012459,-87.72011663,"(41.860124593, -87.720116627)"
10301916,HY469211,1/1/15 0:00,062XX W BARRY AVE,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,TRUE,TRUE,2511,25,36,19,2,1134262,1919947,2015,5/11/16 15:48,41.93653888,-87.78198708,"(41.936538876, -87.781987083)"
10160687,HY313819,6/24/15 6:00,052XX N MARMORA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE,FALSE,1622,16,45,11,18,1135867,1934466,2015,5/12/16 15:48,41.97635197,-87.77574123,"(41.976351974, -87.775741229)"
10181647,HY215976,4/9/15 16:30,061XX S CHAMPLAIN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,TRUE,FALSE,313,3,20,42,18,1181623,1864501,2015,5/12/16 15:48,41.78342422,-87.60964833,"(41.783424215, -87.609648327)"
10192026,HY360910,7/29/15 16:21,029XX W FLOURNOY ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE,FALSE,1135,11,2,27,18,1156974,1896894,2015,5/12/16 15:48,41.87284832,-87.69914356,"(41.872848316, -87.69914356)"
10203133,HY381916,8/14/15 10:55,054XX W WALTON ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1524,15,37,25,18,1139924,1905802,2015,5/12/16 15:48,41.89762162,-87.76152485,"(41.897621617, -87.761524853)"
10211492,HY257237,5/12/15 11:54,066XX S WASHTENAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE,FALSE,831,8,15,66,18,1159517,1860604,2015,5/12/16 15:48,41.77321226,-87.6908034,"(41.773212262, -87.690803401)"
10211589,HY340025,7/14/15 6:00,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,1134,11,24,29,18,1154228,1895173,2015,5/12/16 15:48,41.86818094,-87.70927139,"(41.868180939, -87.709271389)"
10211597,HY334821,7/10/15 6:00,006XX W OHARE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,GOVERNMENT BUILDING/PROPERTY,TRUE,FALSE,1654,16,41,76,18,1100088,1926079,2015,5/12/16 15:48,41.95390047,-87.9074726,"(41.953900467, -87.907472601)"
10211611,HY333584,7/9/15 6:00,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,1134,11,24,29,18,1154228,1895173,2015,5/12/16 15:48,41.86818094,-87.70927139,"(41.868180939, -87.709271389)"
10211617,HY333517,7/9/15 6:00,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,1134,11,24,29,18,1154228,1895173,2015,5/12/16 15:48,41.86818094,-87.70927139,"(41.868180939, -87.709271389)"
10211621,HY369125,8/4/15 17:24,075XX S STONY ISLAND AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE,FALSE,411,4,5,43,18,1188123,1855151,2015,5/12/16 15:48,41.75761443,-87.58611527,"(41.757614433, -87.586115266)"
10211623,HY331028,7/7/15 6:00,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,1134,11,24,29,18,1154228,1895173,2015,5/12/16 15:48,41.86818094,-87.70927139,"(41.868180939, -87.709271389)"
10211630,HY323307,7/1/15 6:00,033XX W FILLMORE ST,2031,NARCOTICS,POSS: METHAMPHETAMINES,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,1134,11,24,29,18,1154228,1895173,2015,5/12/16 15:48,41.86818094,-87.70927139,"(41.868180939, -87.709271389)"
10212757,HY369072,8/4/15 16:51,007XX S KEDVALE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE,FALSE,1132,11,24,26,18,1148838,1896308,2015,5/12/16 15:48,41.87140133,-87.72902997,"(41.871401333, -87.729029971)"
10212800,HY368655,8/4/15 11:53,005XX N LAWLER AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1532,15,28,25,18,1142599,1903190,2015,5/12/16 15:48,41.89040464,-87.75176478,"(41.890404638, -87.751764782)"
10213138,HY371827,8/6/15 16:58,013XX S HOMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE,FALSE,1021,10,24,29,18,1153916,1893520,2015,5/12/16 15:48,41.86365114,-87.71046084,"(41.863651143, -87.71046084)"
10213157,HY371446,8/6/15 12:18,014XX W 66TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE,FALSE,725,7,17,67,18,1167978,1860982,2015,5/12/16 15:48,41.77407189,-87.65977649,"(41.774071891, -87.659776488)"
10213250,HY371306,8/6/15 11:42,050XX W DIVISION ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,2533,25,37,25,18,1142681,1907524,2015,5/12/16 15:48,41.90229611,-87.75135567,"(41.902296112, -87.75135567)"
10214240,HY370160,8/5/15 14:00,013XX N HUDSON AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1821,18,27,8,18,1173067,1909543,2015,5/12/16 15:48,41.90721645,-87.63968356,"(41.907216451, -87.639683562)"
10214258,HY370494,8/5/15 17:05,015XX E 76TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE,FALSE,411,4,5,43,18,1187947,1854903,2015,5/12/16 15:48,41.75693809,-87.58676816,"(41.756938091, -87.586768161)"
